givemoney_on_title;Открыть список транзакций;X
givemoney_on_desc; ;X
givemoney_off_title;Закрыть список транзакций;X
givemoney_off_desc; ;X
givemoney_BOC_title;Перевести деньги в Индию;X
givemoney_CHI_title;Перевести деньги в Китай;X
givemoney_ENG_title;Перевести деньги в Великобританию;X
givemoney_RUS_title;Перевести деньги в Россию;X
givemoney_MEX_title;Перевести деньги в Мексику;X
givemoney_FRA_title;Перевести деньги во Францию;X
givemoney_DNF_title;Перевести деньги в Австрию;X
givemoney_JPE_title;Перевести деньги в Японию;X
givemoney_ISH_title;Перевести деньги в Исламский Халифат;X
givemoney_PRU_title;Перевести деньги в Пруссию;X
givemoney_GER_title;Перевести деньги в Германию;X
givemoney_AUS_title;Перевести деньги в Австрию;X
givemoney_KUK_title;Перевести деньги в Австро-Венгрию;X
givemoney_SGF_title;Перевести деньги в Южную Германию;X
givemoney_USA_title;Перевести деньги в США;X
givemoney_CSA_title;Перевести деньги в КША;X
givemoney_JAP_title;Перевести деньги в Японию;X
givemoney_ITA_title;Перевести деньги в Италию;X
givemoney_SWE_title;Перевести деньги в Швецию;X
givemoney_SCA_title;Перевести деньги в Скандинавию;X
givemoney_BRZ_title;Перевести деньги в Бразилию;X
givemoney_BEL_title; ;X
givemoney_NET_title;Перевести деньги в Нидерланды;X
givemoney_SPA_title;Перевести деньги в Испанию;X
givemoney_SIC_title; ;X
givemoney_TUR_title;Перевести деньги в Турцию;X
givemoney_CAN_title; ;X
givemoney_COL_title; ;X
givemoney_QUE_title; Квебек;X
givemoney_CLM_title; ;X
givemoney_ANU_title; ;X
givemoney_LAF_title;Перевести деньги в Южную Америку;X
givemoney_AST_title; ;X
givemoney_NZL_title; ;X
givemoney_GCO_title; ;X
givemoney_NGF_title;Перевести деньги в Германию;X
givemoney_SAR_title;Перевести деньги в Сардинию;X
givemoney_POR_title; ;X
givemoney_POR_desc;Отправить деньги;X
givemoney_SER_title; ;X
givemoney_SER_desc;Отправить деньги;X
givemoney_GRE_title; ;X
givemoney_GRE_desc;Отправить деньги;X
givemoney_ROM_title; ;X
givemoney_ROM_desc;Отправить деньги;X
givemoney_PER_title;Перевести деньги в Иран;X
givemoney_PER_desc;Отправить деньги;X
givemoney_CHI_desc;Отправить деньги;X
givemoney_EGY_title;Перевести деньги в Египет;X
givemoney_EGY_desc;Отправить деньги;X
givemoney_BOC_desc;Отправить деньги;X
givemoney_INC_title;Отправить в Индокитай;X
givemoney_DAI_title;Отправить в Дайнам;X
givemoney_VIE_title;Отправить во Вьетнам;X
givemoney_VIE_desc; Отправить деньги;X
givemoney_DAI_desc; Отправить деньги;X
givemoney_INC_desc; Отправить деньги;X
givemoney_SAR_desc; Отправить деньги;X
givemoney_RUS_desc; Отправить деньги;X
givemoney_FRA_desc; Отправить деньги;X
givemoney_PRU_desc; Отправить деньги;X
givemoney_NGF_desc; Отправить деньги;X
givemoney_GER_desc; Отправить деньги;X
givemoney_AUS_desc; Отправить деньги;X
givemoney_KUK_desc; Отправить деньги;X
givemoney_SGF_desc; Отправить деньги;X
givemoney_USA_desc; Отправить деньги;X
givemoney_CSA_desc; Отправить деньги;X
givemoney_JAP_desc; Отправить деньги;X
givemoney_ITA_desc; Отправить деньги;X
givemoney_SWE_desc; Отправить деньги;X
givemoney_SCA_desc; Отправить деньги;X
givemoney_BEL_desc; Отправить деньги;X
givemoney_NET_desc; Отправить деньги;X
givemoney_SPA_desc; Отправить деньги;X
